# Radius     Gravity      Pressure     Temperature  Density      Vp           Vs           K            G            Expansivity  Cp            dGdT         
3.781538e+06 1.033256e+01 1.186035e+11 2.434535e+03 5.384561e+03 1.369058e+04 7.109247e+03 6.463807e+11 2.721432e+11 1.266170e-05 1.228923e+03 -1.791616e+07
3.791010e+06 1.032387e+01 1.180741e+11 2.432066e+03 5.380143e+03 1.367964e+04 7.105739e+03 6.445979e+11 2.716516e+11 1.269444e-05 1.229020e+03 -1.793240e+07
3.800481e+06 1.031532e+01 1.175456e+11 2.429595e+03 5.375724e+03 1.366870e+04 7.102224e+03 6.428176e+11 2.711601e+11 1.272732e-05 1.229118e+03 -1.794869e+07
3.809952e+06 1.030690e+01 1.170180e+11 2.427123e+03 5.371303e+03 1.365775e+04 7.098702e+03 6.410396e+11 2.706684e+11 1.276035e-05 1.229216e+03 -1.796503e+07
3.819423e+06 1.029861e+01 1.164913e+11 2.424649e+03 5.366882e+03 1.364678e+04 7.095173e+03 6.392639e+11 2.701767e+11 1.279352e-05 1.229314e+03 -1.798143e+07
3.828894e+06 1.029045e+01 1.159654e+11 2.422174e+03 5.362459e+03 1.363581e+04 7.091635e+03 6.374905e+11 2.696850e+11 1.282685e-05 1.229413e+03 -1.799787e+07
3.838365e+06 1.028242e+01 1.154404e+11 2.419697e+03 5.358034e+03 1.362483e+04 7.088091e+03 6.357193e+11 2.691932e+11 1.286033e-05 1.229512e+03 -1.801438e+07
3.847837e+06 1.027452e+01 1.149162e+11 2.417218e+03 5.353608e+03 1.361383e+04 7.084538e+03 6.339501e+11 2.687012e+11 1.289397e-05 1.229612e+03 -1.803094e+07
3.857308e+06 1.026674e+01 1.143930e+11 2.414738e+03 5.349181e+03 1.360283e+04 7.080978e+03 6.321832e+11 2.682093e+11 1.292775e-05 1.229712e+03 -1.804755e+07
3.866779e+06 1.025909e+01 1.138705e+11 2.412255e+03 5.344752e+03 1.359181e+04 7.077410e+03 6.304186e+11 2.677172e+11 1.296170e-05 1.229812e+03 -1.806422e+07
3.876250e+06 1.025156e+01 1.133489e+11 2.409771e+03 5.340321e+03 1.358078e+04 7.073835e+03 6.286560e+11 2.672251e+11 1.299580e-05 1.229913e+03 -1.808094e+07
3.885721e+06 1.024415e+01 1.128281e+11 2.407285e+03 5.335889e+03 1.356974e+04 7.070251e+03 6.268956e+11 2.667328e+11 1.303006e-05 1.230015e+03 -1.809772e+07
3.895192e+06 1.023686e+01 1.123082e+11 2.404797e+03 5.331455e+03 1.355869e+04 7.066660e+03 6.251373e+11 2.662405e+11 1.306448e-05 1.230117e+03 -1.811456e+07
3.904663e+06 1.022969e+01 1.117890e+11 2.402308e+03 5.327019e+03 1.354763e+04 7.063061e+03 6.233810e+11 2.657481e+11 1.309907e-05 1.230219e+03 -1.813145e+07
3.914135e+06 1.022264e+01 1.112706e+11 2.399815e+03 5.322581e+03 1.353655e+04 7.059453e+03 6.216266e+11 2.652555e+11 1.313382e-05 1.230322e+03 -1.814841e+07
3.923606e+06 1.021570e+01 1.107531e+11 2.397322e+03 5.318141e+03 1.352547e+04 7.055838e+03 6.198744e+11 2.647628e+11 1.316873e-05 1.230425e+03 -1.816542e+07
3.933077e+06 1.020888e+01 1.102364e+11 2.394826e+03 5.313699e+03 1.351437e+04 7.052214e+03 6.181242e+11 2.642701e+11 1.320382e-05 1.230529e+03 -1.818250e+07
3.942548e+06 1.020218e+01 1.097205e+11 2.392328e+03 5.309256e+03 1.350326e+04 7.048582e+03 6.163760e+11 2.637771e+11 1.323907e-05 1.230633e+03 -1.819963e+07
3.952019e+06 1.019558e+01 1.092053e+11 2.389828e+03 5.304810e+03 1.349213e+04 7.044942e+03 6.146298e+11 2.632841e+11 1.327449e-05 1.230738e+03 -1.821682e+07
3.961490e+06 1.018910e+01 1.086910e+11 2.387325e+03 5.300362e+03 1.348100e+04 7.041293e+03 6.128855e+11 2.627909e+11 1.331008e-05 1.230843e+03 -1.823407e+07
3.970962e+06 1.018273e+01 1.081773e+11 2.384821e+03 5.295911e+03 1.346985e+04 7.037636e+03 6.111430e+11 2.622976e+11 1.334585e-05 1.230948e+03 -1.825139e+07
3.980433e+06 1.017646e+01 1.076645e+11 2.382314e+03 5.291458e+03 1.345869e+04 7.033971e+03 6.094025e+11 2.618041e+11 1.338179e-05 1.231055e+03 -1.826877e+07
3.989904e+06 1.017031e+01 1.071524e+11 2.379805e+03 5.287004e+03 1.344751e+04 7.030297e+03 6.076640e+11 2.613105e+11 1.341790e-05 1.231161e+03 -1.828621e+07
3.999375e+06 1.016426e+01 1.066411e+11 2.377294e+03 5.282546e+03 1.343632e+04 7.026614e+03 6.059273e+11 2.608168e+11 1.345420e-05 1.231268e+03 -1.830372e+07
4.008846e+06 1.015831e+01 1.061306e+11 2.374780e+03 5.278087e+03 1.342512e+04 7.022923e+03 6.041924e+11 2.603229e+11 1.349068e-05 1.231376e+03 -1.832129e+07
4.018317e+06 1.015247e+01 1.056208e+11 2.372264e+03 5.273624e+03 1.341390e+04 7.019223e+03 6.024594e+11 2.598288e+11 1.352733e-05 1.231484e+03 -1.833892e+07
4.027788e+06 1.014674e+01 1.051117e+11 2.369745e+03 5.269159e+03 1.340267e+04 7.015514e+03 6.007282e+11 2.593345e+11 1.356418e-05 1.231593e+03 -1.835662e+07
4.037260e+06 1.014110e+01 1.046034e+11 2.367224e+03 5.264691e+03 1.339143e+04 7.011796e+03 5.989986e+11 2.588400e+11 1.360121e-05 1.231702e+03 -1.837439e+07
4.046731e+06 1.013557e+01 1.040958e+11 2.364701e+03 5.260221e+03 1.338017e+04 7.008069e+03 5.972709e+11 2.583454e+11 1.363842e-05 1.231812e+03 -1.839222e+07
4.056202e+06 1.013013e+01 1.035889e+11 2.362175e+03 5.255748e+03 1.336889e+04 7.004333e+03 5.955450e+11 2.578506e+11 1.367582e-05 1.231922e+03 -1.841012e+07
4.065673e+06 1.012480e+01 1.030828e+11 2.359647e+03 5.251273e+03 1.335761e+04 7.000589e+03 5.938209e+11 2.573556e+11 1.371342e-05 1.232033e+03 -1.842809e+07
4.075144e+06 1.011956e+01 1.025773e+11 2.357116e+03 5.246794e+03 1.334630e+04 6.996835e+03 5.920984e+11 2.568605e+11 1.375121e-05 1.232144e+03 -1.844613e+07
4.084615e+06 1.011442e+01 1.020726e+11 2.354582e+03 5.242312e+03 1.333499e+04 6.993072e+03 5.903777e+11 2.563651e+11 1.378919e-05 1.232256e+03 -1.846424e+07
4.094087e+06 1.010937e+01 1.015686e+11 2.352046e+03 5.237828e+03 1.332365e+04 6.989299e+03 5.886585e+11 2.558694e+11 1.382737e-05 1.232369e+03 -1.848241e+07
4.103558e+06 1.010441e+01 1.010653e+11 2.349507e+03 5.233340e+03 1.331231e+04 6.985517e+03 5.869411e+11 2.553736e+11 1.386574e-05 1.232482e+03 -1.850066e+07
4.113029e+06 1.009955e+01 1.005627e+11 2.346965e+03 5.228850e+03 1.330094e+04 6.981726e+03 5.852253e+11 2.548776e+11 1.390432e-05 1.232595e+03 -1.851898e+07
4.122500e+06 1.009479e+01 1.000607e+11 2.344420e+03 5.224356e+03 1.328956e+04 6.977925e+03 5.835112e+11 2.543814e+11 1.394310e-05 1.232710e+03 -1.853737e+07
4.131971e+06 1.009011e+01 9.955952e+10 2.341873e+03 5.219859e+03 1.327817e+04 6.974115e+03 5.817988e+11 2.538850e+11 1.398208e-05 1.232824e+03 -1.855584e+07
4.141442e+06 1.008552e+01 9.905898e+10 2.339323e+03 5.215359e+03 1.326676e+04 6.970295e+03 5.800879e+11 2.533883e+11 1.402127e-05 1.232940e+03 -1.857437e+07
4.150913e+06 1.008103e+01 9.855912e+10 2.336770e+03 5.210855e+03 1.325533e+04 6.966466e+03 5.783786e+11 2.528914e+11 1.406066e-05 1.233056e+03 -1.859299e+07
